BRAND;ADDRESS;RATING;UAB;UABWEEK;UABMON;UABTUE;UABWED;UABTHU;UABFRI;UABSAT;UABSUN;PARKLOT;OPENTIME;OPEN6AM;OPEN7AM;OPEN8AM;OPENAFTER8;REVIEWS;AVGTIME;WORK_24HRS;SUNDAYS;WORSTREVIEWS;lat;long;DISTCENT;Open_hour_Mo;Open_hour_Di;Open_hour_Mi;Open_hour_Do;Open_hour_Fr;Open_hour_Sa;Open_hour_So;COMCENTER;NUM_COMMENTS;NEG_COMMENTPRICE;NEG_COMMENTFOOD;NEGPOS_RATIO;POSNEG_RATIO;NEG_REVIEWS;POS_REVIEWS;perc_BH
REWE Markt;Brunsb¸tteler Damm 274, 13591 Berlin;3.7;18;14;1;6;2;4;1;4;0;1;2;0;1;0;0;726;15;0;0;80;52.5335602;13.1554446;15.17579147;0;0;0;0;0;0;0;0;38;33;3;0.304157549;3.287769784;139;457;0.21
Nah und Gut Zengin & Yaka;Buckower Damm 219, 12349 Berlin;3.9;20;20;2;6;3;7;2;0;0;1;3;0;0;1;0;188;15;0;0;10;52.4243333;13.4363247;10.97978576;12;12;12;12;12;12;0;0;6;2;1;0.183206107;5.458333333;24;131;0.28
Aldi Nord;Buckower Damm 50, 12349 Berlin;4.1;7;4;0;0;0;4;0;3;0;1;2;0;1;0;0;273;20;0;0;10;52.4402077;13.4340899;9.290772673;13;13;13;13;13;13;0;0;3;0;0;0.083333333;12;17;204;0.09
EDEKA H¸ntemann;Buntzelstraﬂe 14, 12526 Berlin;4.1;14;10;2;2;0;5;1;4;0;1;2;0;1;0;0;577;15;0;0;21;52.4089943;13.5721781;17.79327767;14;14;14;14;14;14;0;0;4;0;0;0.114606742;8.725490196;51;445;0.17
EDEKA Kitschun;Buschallee 88, 13088 Berlin;3.6;9;9;0;3;3;3;0;0;0;1;2;0;1;0;0;592;15;0;0;73;52.553828;13.475476;7.829795387;12.5;12.5;12.5;12.5;12.5;12.5;0;0;56;46;8;0.369047619;2.709677419;124;336;0.12
REWE Markt;Chausseestraﬂe 118-120, 10115 Berlin;4.1;15;11;2;4;0;5;0;4;0;1;2;0;1;0;0;1457;15;0;0;80;52.5295822;13.3839252;1.540115104;16;16;16;16;16;16;0;0;30;2;0;0.104845815;9.537815126;119;1135;0.16
EDEKA Clayallee;Clayallee 171-177, 14195 Berlin;4.2;11;6;0;3;0;3;0;5;0;1;2;0;1;0;0;1275;25;0;0;78;52.4522355;13.2706603;10.17246529;17;17;19;19;19;16;0;1;65;5;1;0.119885823;8.341269841;126;1051;0.1
EDEKA Center Brehm;Clayallee 328-334, 14169 Berlin;4.7;7;2;0;1;0;1;0;5;0;1;2;0;1;0;0;981;20;0;0;22;52.4377608;13.2625624;11.71911778;15;15;15;15;15;15;0;1;18;1;0;0.03402854;29.38709677;31;911;0.08
REWE Markt;Clayallee 336, 14169 Berlin;4;7;3;0;0;0;3;0;4;0;0;1;1;0;0;0;1179;25;0;0;72;52.4370895;13.2622953;11.78701044;16;16;16;16;16;16;0;0;3;0;0;0.142697882;7.0078125;128;897;0.07
EDEKA Focke;Danckelmannstraﬂe 57-60, 14059 Berlin;3.7;25;17;2;4;3;8;0;8;0;0;2;0;1;0;0;483;15;0;0;56;52.5176445;13.2905211;5.907812276;15;15;15;15;15;15;0;0;16;13;0;0.314381271;3.180851064;94;299;0.28
REWE Markt;Daumstraﬂe 90, 13599 Berlin;4.5;11;2;0;2;0;0;0;9;0;1;2;0;1;0;0;106;20;0;0;3;52.5545726;13.2261782;11.1106524;15;15;15;15;15;15;0;0;3;0;0;0.042553191;23.5;4;94;0.12
REWE Markt;Dolgenseestraﬂe 9 c-f, 10319 Berlin;4.3;22;13;3;4;2;4;0;9;0;1;2;0;1;0;0;466;20;0;0;21;52.493473;13.5075973;9.160210976;15;15;15;15;15;15;0;1;14;0;0;0.078282828;12.77419355;31;396;0.24
EDEKA Stepaniak;Dorfstraﬂe 65, 16356 Ahrensfelde;4.3;26;18;1;4;7;6;0;8;0;1;2;0;1;0;0;1438;20;0;0;64;52.5754535;13.5724281;14.73654054;14;14;14;14;14;14;0;0;28;0;0;0.088210348;11.33653846;104;1179;0.31
EDEKA Dˆrpfeldstraﬂe;Dˆrpfeldstraﬂe 46, 12489 Berlin;3.9;26;22;3;4;7;8;0;4;0;1;2;0;1;0;0;1316;20;0;0;104;52.4383455;13.5483317;14.46015377;17;17;19;19;19;16.5;0;0;15;6;0;0.18086225;5.529069767;172;951;0.24
EDEKA Zahl;Dovestraﬂe 3c, 10587 Berlin;3.7;25;25;4;6;7;8;0;0;0;1;2;0;1;0;0;663;15;0;0;104;52.5201067;13.3199661;3.934296245;15;15;15;15;15;15;0;0;6;5;0;0.36;2.777777778;153;425;0.28
EDEKA K¸ther;Drakestraﬂe 28-29, 12205 Berlin;3.9;8;4;0;4;0;0;0;4;0;1;2;0;1;0;0;545;20;0;0;44;52.4413773;13.2991146;9.89475856;14;14;14;14;14;14;0;0;14;4;0;0.17357513;5.76119403;67;386;0.1
Punjab Foods;Drontheimer Str. 32A, 13359 Berlin;4.1;6;1;0;0;0;1;0;5;0;0;4;0;0;0;1;1794;25;0;0;114;52.5587382;13.3750173;4.730480921;12;12;12;12;12;12;0;0;9;1;0;0.142643764;7.010471204;191;1339;0.08
Nah und Gut Janoschek;Ehrenfelder Pl. 3, 12524 Berlin;3.8;14;11;3;3;3;2;0;3;0;1;3;0;0;1;0;251;15;0;0;27;52.4018647;13.5429761;16.96706722;12;12;12;12;12;20;0;0;13;11;2;0.215568862;4.638888889;36;167;0.18
REWE Markt;Eichenauer Weg 61, 12355 Berlin;4.2;6;0;0;0;0;0;0;6;0;1;2;0;1;0;0;1435;20;0;0;87;52.4128566;13.4932549;13.92671412;15;15;15;15;15;15;0;0;46;5;1;0.11349957;8.810606061;132;1163;0.07
Nah und Gut ÷zbek & Batur oHG;Eichhorster Weg 25, 13435 Berlin;3.9;20;17;3;4;3;0;7;3;0;0;2;0;1;0;0;213;15;0;0;23;52.5987307;13.3428317;9.477486797;15;15;15;15;15;15;0;0;13;4;1;0.2;5;29;145;0.22
EDEKA Elstaler Straﬂe;Elstaler Str. 6, 13583 Berlin;3.8;21;12;4;3;2;0;3;9;0;1;2;0;1;0;0;551;15;0;0;55;52.5373882;13.1855145;13.22664817;15;15;15;15;15;15;0;0;46;36;8;0.266288952;3.755319149;94;353;0.23
Oriental Market;Emser Str. 103/105, 12051 Berlin;4.4;1;1;1;0;0;0;0;0;0;0;3;0;0;1;0;31;10;0;0;1;52.4681299;13.4299727;6.424561051;14;14;14;14;14;14;0;0;1;0;0;0.074074074;13.5;2;27;0.01
REWE Markt;Ernst-Barlach-Straﬂe 19, 13059 Berlin;4;12;4;0;1;1;0;2;8;0;1;2;0;1;0;0;821;20;0;0;78;52.5749242;13.5096236;11.06252128;15;15;15;15;15;15;0;0;2;0;0;0.182258065;5.486725664;113;620;0.13
REWE Markt;Eschengraben 47, 13189 Berlin;3.9;19;10;3;3;0;0;4;9;0;1;2;0;1;0;0;546;20;0;0;44;52.5565068;13.424549;5.488056764;15;15;15;15;15;15;0;0;27;13;2;0.205729167;4.860759494;79;384;0.21
EDEKA Ulrich;Falkenpl. 1-3, 13505 Berlin;3.7;4;0;0;0;0;0;0;4;0;1;2;0;1;0;0;260;15;0;0;39;52.5847783;13.2267103;12.75198923;14;14;14;14;14;14;0;0;9;8;1;0.325581395;3.071428571;56;172;0.05
EDEKA Seitz;Falkenseer Chaussee 239, 13583 Berlin;4.3;5;0;0;0;0;0;0;5;0;1;2;0;1;0;0;1701;20;0;0;69;52.5481636;13.1771335;14.03832424;15;15;15;15;15;15;0;0;62;2;0;0.084577114;11.82352941;119;1407;0.06
Nah und Gut Kauert;Falkenseer Chaussee 266, 13583 Berlin;4;14;9;3;3;0;3;0;5;0;0;2;0;1;0;0;324;15;0;0;28;52.5470428;13.1863403;13.40378805;13;13;13;13;13;13;0;0;3;1;0;0.202643172;4.934782609;46;227;0.18
EDEKA Zahl;Fischerh¸ttenstraﬂe 68, 14163 Berlin;3.3;23;19;5;6;6;0;2;4;0;0;2;0;1;0;0;179;15;0;0;37;52.4422244;13.2404359;12.43241777;15;15;15;15;15;15;0;0;27;23;2;0.571428571;1.75;56;98;0.26
EDEKA Stadie;Flankenschanze 32, 13585 Berlin;4.2;14;6;2;3;0;0;1;8;0;1;1;1;0;0;0;599;15;0;0;25;52.5426525;13.1972475;12.56860811;14.5;14.5;14.5;14.5;14.5;14.5;0;0;3;0;0;0.093877551;10.65217391;46;490;0.16
Ba?kent Supermarket;Fˆhrer Str. 13, 13353 Berlin;4;2;2;2;0;0;0;0;0;0;0;2;0;1;0;0;31;10;0;0;5;52.54173;13.34958;3.414247589;13;13;13;13;13;13;0;0;3;1;0;0.2;5;5;25;0.03
EDEKA Ring Center;Frankfurter Allee 111, 10247 Berlin;3.8;17;10;4;4;2;0;0;7;0;1;3;0;0;1;0;578;15;0;0;59;52.5144001;13.4739917;6.526190923;13;13;13;13;13;13;0;1;22;8;5;0.223880597;4.466666667;90;402;0.22
REWE Markt;Frankfurter Allee 144, 10365 Berlin;3.9;15;6;3;2;1;0;0;9;0;1;2;0;1;0;0;909;15;0;0;72;52.5121372;13.4819051;7.074126703;17;17;19;19;19;16.5;0;0;35;20;7;0.191290824;5.227642276;123;643;0.14
EDEKA Scheuner;Franz-Jacob-Straﬂe 4, 10369 Berlin;3.7;12;9;6;3;0;0;0;3;0;0;2;0;1;0;0;528;15;0;0;67;52.5253669;13.4656951;6.045393537;14;14;14;14;14;14;0;0;26;20;6;0.30952381;3.230769231;104;336;0.14
EDEKA Brabanski;Fregestraﬂe 6, 12159 Berlin;4.2;11;8;4;1;1;0;2;3;0;1;2;0;1;0;0;317;15;0;0;19;52.4713159;13.3370897;5.71188315;13;13;13;13;13;13;0;0;6;1;0;0.130081301;7.6875;32;246;0.14
NP-Markt Schˆneiche bei Berlin;Friedrich-Ebert-Straﬂe 3, 15566 Schˆneiche bei Berlin;4.1;17;13;2;3;3;0;5;4;0;1;2;0;1;0;0;220;15;0;0;10;52.4735114;13.6843409;21.32050702;13;13;13;13;13;13;0;0;4;0;0;0.124223602;8.05;20;161;0.22
EDEKA City Markt;Friedrichstraﬂe 142, 10117 Berlin;4;7;5;0;2;3;0;0;2;0;1;1;1;0;0;0;2491;10;0;1;174;52.5200014;13.3880047;0.811754232;16;16;16;16;16;14;14;1;160;16;6;0.16161059;6.187713311;293;1813;0.07
REWE Markt;Fritz-Lang-Straﬂe 3, 12627 Berlin;4.3;20;13;4;4;2;0;3;7;0;0;2;0;1;0;0;401;15;0;0;20;52.53716;13.60265;15.41102334;15;15;15;15;15;15;0;0;5;0;0;0.102639296;9.742857143;35;341;0.22
EDEKA Vaupel;Fuldastraﬂe 43-44, 12045 Berlin;3.5;10;5;2;3;0;0;0;5;0;0;3;0;0;1;0;228;15;0;0;33;52.4853161;13.4376751;5.328525543;12;12;12;12;12;12;0;0;7;6;0;0.440944882;2.267857143;56;127;0.14
EDEKA F¸rstenberger Straﬂe;F¸rstenberger Str. 8, 10435 Berlin;3.8;12;4;2;2;0;0;0;8;0;0;2;0;1;0;0;505;15;0;0;35;52.5375052;13.405255;3.011139402;15;15;15;15;15;15;0;0;27;22;3;0.245508982;4.073170732;82;334;0.13
EDEKA Schmitt;Garb·typl. 1, 13187 Berlin;4;12;10;4;5;1;0;0;2;0;0;1;1;0;0;0;1074;15;0;0;68;52.567293;13.410796;6.105233519;17;17;17;17;17;17;0;0;34;5;0;0.130381304;7.669811321;106;813;0.12
EDEKA Salpius;Gartenfelder Str. 86, 13599 Berlin;4.1;18;9;3;4;0;0;2;9;0;1;2;0;1;0;0;612;15;0;0;29;52.5435811;13.2406087;9.769153649;15;15;15;15;15;15;0;0;9;1;0;0.109207709;9.156862745;51;467;0.2
REWE Markt;Genslerstraﬂe 34, 13055 Berlin;4;9;3;2;1;0;0;0;6;0;1;2;0;1;0;0;630;15;0;0;39;52.535419;13.4965123;8.323972986;13;13;13;13;13;13;0;1;7;1;0;0.130879346;7.640625;64;489;0.12
EDEKA Genthiner Straﬂe Berlin;Genthiner Str. 42, 10785 Berlin;4.2;17;13;5;4;2;0;2;4;0;1;2;0;1;0;0;452;15;0;0;25;52.5020401;13.3584194;2.053825001;15;15;15;15;15;15;0;0;21;2;0;0.08719346;11.46875;32;367;0.19
REWE Markt;Germaniastraﬂe 12-13, 12099 Berlin;4;26;18;7;5;0;0;6;8;0;1;1;1;0;0;0;1106;20;0;0;68;52.464686;13.3951119;5.862823989;16;16;16;16;16;16;0;1;9;1;0;0.139255702;7.181034483;116;833;0.27
Lidl;Gervinusstraﬂe 30, 10629 Berlin;4.1;9;0;0;0;0;0;0;9;0;1;2;0;1;0;0;1341;20;0;0;75;52.5029524;13.2985104;5.566731387;15;15;15;15;15;15;0;0;3;0;0;0.111969112;8.931034483;116;1036;0.1
REWE Markt;Goerzallee 82, 12205 Berlin;4;7;2;0;0;1;0;1;5;0;1;2;0;1;0;0;1022;20;0;0;64;52.42628;13.3025028;11.24139847;14.8;14.8;14.8;14.8;14.8;14.8;0;0;12;1;0;0.137055838;7.296296296;108;788;0.08
EDEKA Kruse;Goltzstraﬂe 1, 12307 Berlin;4.1;6;2;0;0;0;0;2;4;0;1;2;0;1;0;0;1032;20;0;0;45;52.3873548;13.4085066;14.50267159;14;14;14;14;14;14;0;0;15;1;0;0.106516291;9.388235294;85;798;0.07
REWE Markt;Gorkistraﬂe 11-21, 13507 Berlin;4.1;7;1;1;0;0;0;0;6;0;1;2;0;1;0;0;300;15;0;0;22;52.5905723;13.2866392;10.31484902;15;15;15;15;15;15;0;0;5;0;0;0.14957265;6.685714286;35;234;0.08
EDEKA Tatschke;Gothaer Str. 45, 12629 Berlin;4.2;13;5;0;2;0;0;3;8;0;1;2;0;1;0;0;938;20;0;0;53;52.5382788;13.5901546;14.5952112;14;14;14;14;14;14;0;0;27;3;0;0.112751678;8.869047619;84;745;0.16
REWE Markt;Gotlindestraﬂe 40a, 10365 Berlin;4.2;20;11;4;2;2;0;3;9;0;1;1;1;0;0;0;800;20;0;0;42;52.5185414;13.4969275;8.080159749;16;16;16;16;16;16;0;0;21;1;0;0.115444618;8.662162162;74;641;0.21
Spati kanat;Gotzkowskystraﬂe 18B, 10555 Berlin;3.7;7;2;0;0;0;0;2;4;1;1;0;0;0;0;0;3;10;1;1;1;52.5241242;13.32957;3.375451073;0;14;0;14;0;0;0;0;0;0;0;0.5;2;1;2;0.25
Nah und Gut Hˆtzel;Grainauer Str. 1, 10777 Berlin;4;4;1;1;0;0;0;0;3;0;0;3;0;0;1;0;194;10;0;0;8;52.4978447;13.3349219;3.551340932;12;12;12;12;12;12;0;0;5;1;0;0.152173913;6.571428571;21;138;0.06
REWE Markt;Greifswalder Str. 154-156, 10409 Berlin;4.1;17;10;3;5;2;0;0;7;0;0;1;1;0;0;0;725;20;0;0;40;52.5438127;13.4413651;5.28993392;16;16;16;16;16;16;0;0;5;0;0;0.118397086;8.446153846;65;549;0.18
Al Kaiser Supermarkt;Greifswalder Str. 162, 10409 Berlin;4.4;4;0;0;0;0;0;0;4;0;0;4;0;0;0;1;128;10;0;0;8;52.542542;13.439916;5.128368232;12;12;12;12;12;12;0;0;1;0;0;0.085714286;11.66666667;9;105;0.06
EDEKA Greifswalder Straﬂe;Greifswalder Str. 86, 10409 Berlin;3.9;30;20;4;8;4;0;4;10;0;1;2;0;1;0;0;1591;20;0;0;144;52.5413873;13.439795;5.04940151;17;17;19;19;19;16.5;0;0;9;3;1;0.195729537;5.109090909;220;1124;0.28
REWE Markt;Grellstraﬂe 75, 10409 Berlin;4;17;8;3;2;1;0;2;9;0;1;2;0;1;0;0;655;15;0;0;39;52.5452896;13.4300632;4.79629802;17;17;19;19;19;16.5;0;0;14;2;1;0.153061224;6.533333333;75;490;0.16
Aldi Nord;Grenzallee 4 L, 12057 Berlin;4;10;4;2;0;0;2;0;6;0;1;2;0;1;0;0;393;15;0;0;24;52.4703169;13.4618012;7.659142305;14;14;14;14;14;14;0;0;4;1;0;0.163763066;6.106382979;47;287;0.12
EDEKA Center Neukˆlln;Grenzallee 4-6, 12057 Berlin;4.1;7;0;0;0;0;0;0;7;0;1;2;0;1;0;0;739;15;0;0;43;52.4701473;13.4623876;7.701349397;14;14;14;14;14;14;0;0;40;3;1;0.104273504;9.590163934;61;585;0.08
REWE Markt;Groﬂbeerenstraﬂe 62-64, 12107 Berlin;4.1;7;0;0;0;0;0;0;7;0;1;1;1;0;0;0;1129;20;0;0;67;52.4343628;13.377136;9.118505727;18;18;20;20;20;17.5;0;0;15;2;1;0.131147541;7.625;112;854;0.06
EDEKA Hadlichstraﬂe;Hadlichstraﬂe 19, 13187 Berlin;3.8;6;6;0;3;0;3;0;0;0;1;2;0;1;0;0;319;15;0;0;31;52.5715186;13.4178492;6.72347605;14;14;14;14;14;14;0;0;14;11;3;0.215246637;4.645833333;48;223;0.07
EDEKA Gˆrse & Meichsner;Handjerystraﬂe 98, 12159 Berlin;3.7;14;6;0;4;0;2;0;8;0;0;2;0;1;0;0;159;15;0;0;18;52.4770402;13.3331105;5.311270113;15;15;15;15;15;15;0;0;16;14;2;0.346153846;2.888888889;36;104;0.16
EDEKA Center Stepaniak;Hansastraﬂe 236, 13051 Berlin;4.2;8;3;0;0;0;2;1;5;0;1;2;0;1;0;0;1025;15;0;0;54;52.5608938;13.4993655;9.61900285;14;14;14;14;14;14;0;0;2;0;0;0.104066986;9.609195402;87;836;0.1
Nah und Gut Cetin;Haselhorster Damm 27, 13599 Berlin;3.8;9;9;0;3;2;3;1;0;0;0;2;0;1;0;0;160;15;0;0;17;52.5447941;13.2378466;9.989057336;13;13;13;13;13;13;0;0;12;9;3;0.27184466;3.678571429;28;103;0.12
EDEKA Fiebig;Hasenheide 107-108, 10967 Berlin;4;7;0;0;0;0;0;0;7;0;1;3;0;0;1;0;405;20;0;0;34;52.4865219;13.4218239;4.461925728;13;13;13;13;13;13;0;0;11;2;1;0.156549521;6.387755102;49;313;0.09
REWE Markt;Hauptstraﬂe 141-144, 10827 Berlin;4;18;8;1;4;0;3;0;10;0;1;2;0;1;0;0;802;20;0;0;61;52.4856059;13.3560587;3.715828803;17;17;19;19;19;16.5;0;0;34;4;1;0.177664975;5.628571429;105;591;0.17
REWE Markt;Hauptstraﬂe 65-70, 13127 Berlin;4.1;12;8;0;1;0;7;0;4;0;1;2;0;1;0;0;614;20;0;0;35;52.6040981;13.4323615;10.45276551;15;15;15;15;15;15;0;0;15;2;0;0.128964059;7.754098361;61;473;0.13
REWE Markt;Havemannstraﬂe 12A, 12689 Berlin;4.1;11;8;0;3;2;3;0;3;0;1;2;0;1;0;0;751;20;0;0;47;52.5688367;13.568572;14.18501184;15;15;15;15;15;15;0;0;15;1;0;0.161061947;6.208791209;91;565;0.12
EDEKA Busack;Heckerdamm 225-231, 13627 Berlin;3.7;22;18;2;5;4;7;0;4;0;1;2;0;1;0;0;648;15;0;0;70;52.53924;13.2993363;5.890996896;14;14;14;14;14;14;0;0;34;30;4;0.259615385;3.851851852;108;416;0.26
EDEKA am S¸dkreuz;Hedwig-Dohm-Straﬂe 4, 10829 Berlin;4.3;9;5;0;2;0;3;0;4;0;1;2;0;1;0;0;222;20;0;0;12;52.4758377;13.3622159;4.622224488;14;14;14;14;14;14;0;0;1;0;0;0.079787234;12.53333333;15;188;0.11
EDEKA Center Heerstraﬂe;Heerstraﬂe 284, 13595 Berlin;4.1;7;0;0;0;0;0;0;7;0;1;2;0;1;0;0;976;20;0;0;50;52.5154329;13.1868171;12.93150566;14.5;14.5;14.5;14.5;14.5;14.5;0;0;1;0;0;0.135458167;7.382352941;102;753;0.08
REWE Markt;Heerstraﬂe 560, 13591 Berlin;4.2;9;3;0;1;0;2;0;6;0;1;2;0;1;0;0;1282;20;0;0;69;52.5249244;13.1418743;16.00296975;15;15;15;15;15;15;0;0;23;2;1;0.098550725;10.14705882;102;1035;0.1
REWE Markt;Helene-Weigel-Platz 1-2, 12681 Berlin;3.8;33;31;4;8;8;8;3;2;0;1;2;0;1;0;0;657;10;0;0;82;52.5276676;13.5388799;10.99036495;15;15;15;15;15;15;0;0;79;44;0;0.275626424;3.628099174;121;439;0.37
