RATING;UAB;UABSAT;PARKLOT;OPENTIME;OPEN6AM;OPEN7AM;OPEN8AM;OPENAFTER8;REVIEWS;AVGTIME;WORK_24HRS;SUNDAYS;WORSTREVIEWS;DISTCENT;Open_hourSUM;COMCENTER;NUM_COMMENTS;NEG_COMMENTPRICE;NEG_COMMENTFOOD;NEG_REVIEWS;POS_REVIEWS;perc_BH
3.5;15;7;1;2;0;1;0;0;766;20;0;0;141;2.983858142;84;0;67;51;12;194;481;0.18
3.9;10;8;1;2;0;1;0;0;377;25;0;0;21;4.497935419;84;1;21;11;1;34;257;0.12
4;6;6;1;3;0;0;1;0;189;15;0;0;23;2.634354417;79;0;13;1;0;33;145;0.08
4.1;19;7;0;3;0;0;1;0;58;20;0;0;5;3.747503319;79;0;3;0;0;8;41;0.24
4;11;2;0;2;0;1;0;0;1335;15;0;0;66;0.8655001;89;0;40;4;1;119;970;0.12
3.5;2;2;1;3;0;0;1;0;61;15;0;0;15;3.990140997;79;0;6;5;0;19;39;0.03
3.9;9;6;0;3;0;0;1;0;52;15;0;0;6;3.482789241;79;0;5;2;1;9;38;0.11
4.3;6;6;0;3;0;0;1;0;691;20;0;0;22;3.627207285;72;0;17;0;0;41;578;0.08
4.1;6;6;0;3;0;0;1;0;1068;15;0;0;74;4.462771925;72;0;32;3;1;119;810;0.08
4;18;7;0;2;0;1;0;0;672;15;0;0;37;1.925896417;84;0;24;5;1;74;485;0.21
4.5;5;5;0;4;0;0;0;1;1593;10;0;0;32;2.536626831;66;0;26;1;0;59;1425;0.08
4.3;9;2;0;3;0;0;1;0;1560;20;0;0;57;0.652158985;87;0;27;1;0;102;1322;0.1
4.1;7;7;1;2;0;1;0;0;1377;15;0;0;87;5.328156786;89;1;39;2;0;151;1066;0.08
4;0;0;0;2;0;1;0;0;24;10;0;0;5;5.220423493;83.4;0;1;0;0;5;17;0
4.1;17;7;1;2;0;1;0;0;995;20;0;0;48;1.273083231;84;0;43;4;1;91;756;0.2
4.3;6;6;0;3;0;0;1;0;88;20;0;0;4;6.149004334;72;0;4;0;0;6;72;0.08
4.2;9;5;1;2;0;1;0;0;917;20;0;0;56;5.615703337;84;0;39;3;0;92;739;0.11
4.2;7;7;1;2;0;1;0;0;4494;25;0;0;206;2.165066547;89;0;113;11;4;348;3617;0.08
4;18;2;1;2;0;1;0;0;517;15;0;0;33;2.742045305;90;1;26;4;0;57;384;0.2
4;5;4;0;3;0;0;1;0;80;15;0;0;10;5.73061905;79;0;1;0;0;13;64;0.06
4.3;9;9;1;2;0;1;0;0;1915;25;0;0;72;2.676029017;89;1;26;1;0;133;1586;0.1
4.3;16;9;1;3;0;0;1;0;2504;25;0;0;130;6.987071786;93;0;105;1;0;224;2090;0.17
3.9;5;5;0;3;0;0;1;0;2385;25;0;0;211;6.757346671;72;0;165;66;8;353;1675;0.07
4.1;2;0;0;2;0;1;0;0;33;15;0;0;5;1.511635867;76.5;0;3;0;0;6;25;0.03
4.4;11;7;1;2;0;1;0;0;582;15;0;0;18;2.382943447;81;0;14;0;0;37;512;0.14
4.1;12;9;1;2;0;1;0;0;3915;32.5;0;0;207;3.636972953;98.5;1;195;7;2;354;3090;0.12
3.8;6;0;1;3;0;0;1;0;73;15;0;0;11;4.081483594;79;0;7;6;1;14;53;0.08
4.2;21;9;0;3;0;0;1;0;74;15;0;0;9;5.017626691;79;0;5;0;0;10;59;0.27
4;0;0;0;2;0;1;0;0;8400;20;0;1;401;3.32764931;109;0;132;13;3;822;6137;0
4.5;19;9;1;1;1;0;0;0;738;20;0;0;24;3.964684481;103.5;0;18;1;0;34;669;0.18
3.9;15;3;0;3;0;0;1;0;489;15;0;0;24;4.042890541;75;0;1;0;0;61;333;0.2
4.3;16;8;1;2;0;1;0;0;1663;15;0;0;85;2.864533227;89;1;46;0;0;136;1366;0.18
3.5;21;5;0;2;0;1;0;0;1416;15;0;0;203;2.752146436;98.5;1;111;62;8;342;777;0.21
4.3;19;5;1;3;0;0;1;0;331;15;0;0;21;4.363383907;72;0;17;0;0;29;276;0.26
4.2;4;3;0;4;0;0;0;1;1040;20;0;0;46;3.144915093;60;0;12;1;0;77;829;0.07
4.1;9;9;1;4;0;0;0;1;835;15;0;0;56;4.965670893;79;1;31;3;0;81;637;0.11
4.1;4;3;1;4;0;0;0;1;660;20;0;0;34;2.789980665;60;1;16;2;0;51;522;0.07
4.1;10;7;0;3;0;0;1;0;350;15;0;0;23;4.296652661;84;0;17;2;0;37;261;0.12
3.8;25;8;0;2;0;1;0;0;650;15;0;0;55;5.84946606;94;0;34;30;3;90;440;0.27
4.2;13;0;0;3;0;0;1;0;11;15;0;0;0;3.859810719;78;0;0;0;0;3;8;0.17
4.1;2;2;0;4;0;0;0;1;49;15;0;0;6;3.447438573;72;0;3;0;0;7;38;0.03
3.9;6;1;1;3;0;0;1;0;251;15;0;0;11;4.277366232;72;0;2;1;0;25;181;0.08
3.9;9;7;0;1;1;0;0;0;892;15;0;0;72;3.268325022;103.5;0;4;1;0;116;616;0.09
3.9;20;3;0;2;0;1;0;0;199;15;0;0;17;4.00591936;89;0;3;2;0;33;138;0.23
3.8;18;9;1;1;1;0;0;0;664;15;0;0;59;5.059813261;103.5;0;17;6;1;105;449;0.17
3.9;16;0;1;2;0;1;0;0;806;15;0;0;35;2.417370858;89;0;11;6;2;87;546;0.18
4.5;3;2;0;3;0;0;1;0;320;15;0;0;10;5.529401936;74;0;1;0;0;15;285;0.04
3.9;21;8;0;1;1;0;0;0;1189;20;0;0;71;5.802748218;103.5;0;42;21;8;129;827;0.2
3.8;10;2;0;2;0;1;0;0;455;15;0;0;44;4.778657178;89;0;33;29;4;85;291;0.11
4;27;9;1;2;0;1;0;0;709;20;0;0;50;4.269396501;84;0;41;7;1;68;530;0.32
4;18;3;1;3;0;0;1;0;358;15;0;0;24;7.7377016;74;0;2;0;0;39;255;0.24
3.8;8;6;1;2;0;1;0;0;580;15;0;0;36;3.697156924;89;0;25;11;2;70;371;0.09
4.1;7;6;1;3;0;0;1;0;963;10;0;0;54;1.130618682;81.5;1;42;3;1;81;755;0.09
4.1;9;6;1;4;0;0;0;1;1148;10;0;0;39;0.684481169;72;1;35;2;1;87;869;0.13
3.3;10;2;1;3;0;0;1;0;465;15;0;0;80;5.454487266;72;0;27;19;5;139;224;0.14
3.9;13;5;0;2;0;1;0;0;610;15;0;0;38;4.336359555;89;0;13;5;2;69;425;0.15
3.8;3;1;0;1;1;0;0;0;2029;20;0;1;186;1.09671448;108;1;39;35;4;307;1353;0.03
3.8;35;9;1;2;0;1;0;0;916;20;0;0;66;7.205412433;90;0;5;5;0;135;603;0.39
4;7;0;0;1;1;0;0;0;2400;20;0;1;134;4.526740769;106;1;82;9;1;248;1766;0.07
4.1;5;5;1;2;0;1;0;0;446;20;0;0;23;6.643932359;84;0;20;2;1;40;357;0.06
3.9;17;9;1;2;0;1;0;0;697;20;0;0;45;3.324042738;89;0;36;20;8;86;471;0.19
4.4;5;4;0;2;0;1;0;0;1927;20;0;0;68;2.196397604;94;0;27;1;0;107;1685;0.05
3.5;5;0;0;3;0;0;1;0;316;15;0;0;48;3.146617437;74;0;41;31;5;77;179;0.07
4.2;21;4;0;2;0;1;0;0;822;15;0;0;27;1.986431147;84;0;9;1;0;50;684;0.25
4.1;13;8;0;2;0;1;0;0;556;20;0;0;17;5.403653599;89;0;1;0;0;36;424;0.15
4.2;13;4;0;2;0;1;0;0;1315;20;0;0;45;1.076250298;96.5;0;16;1;0;87;1049;0.14
3.7;4;0;0;3;0;0;1;0;177;15;0;0;21;3.56744764;72;0;9;8;1;34;119;0.06
3.2;12;3;1;3;0;0;1;0;566;15;0;0;113;3.188703208;74;0;41;39;2;171;276;0.16
4.2;6;6;1;3;0;0;1;0;1460;15;0;0;72;2.621717947;79;1;30;2;1;105;1190;0.08
4.4;22;1;0;2;0;1;0;0;419;20;0;0;27;1.959613421;89;0;16;0;0;40;359;0.25
4.3;3;0;0;2;0;1;0;0;29;10;0;0;3;3.434104297;115;0;2;0;0;3;25;0.03
4.3;7;0;0;2;0;1;0;0;480;20;0;0;15;3.143692179;84;0;5;0;0;30;396;0.08
4.1;5;5;0;2;0;1;0;0;924;20;0;0;58;3.830712099;78;0;52;5;1;101;694;0.06
4;4;0;0;3;0;0;1;0;195;15;0;0;9;1.834089186;84;0;7;1;0;18;141;0.05
4.2;8;8;0;4;0;0;0;1;362;20;0;0;13;2.096598049;72;0;2;0;0;31;292;0.11
3.6;13;5;1;2;0;1;0;0;295;15;0;0;35;8.17256712;79;0;3;2;0;58;172;0.17
4.1;20;4;1;2;0;1;0;0;581;20;0;0;30;7.613462096;84;0;28;2;0;57;452;0.24
4.4;11;4;0;3;0;0;1;0;209;15;0;0;10;4.860762337;78;0;4;0;0;12;185;0.14
3.9;10;9;1;2;0;1;0;0;890;15;0;0;76;3.977293885;89;1;62;23;2;126;662;0.11
4.4;12;4;0;2;0;1;0;0;135;20;0;0;8;2.272341642;90;0;2;0;0;10;118;0.13
3.6;3;1;0;3;0;0;1;0;36;15;0;0;9;3.889619425;79;0;4;4;0;11;24;0.04
3.9;16;5;0;3;0;0;1;0;106;10;0;0;9;8.331041157;72;0;7;2;0;16;70;0.22
5;10;10;1;2;0;1;0;0;1;20;0;0;0;6.118476659;90;0;0;0;0;0;1;0.11
4.1;7;7;1;2;0;1;0;0;3820;42.5;0;0;223;6.611948938;98.5;0;120;11;1;372;2912;0.07
3.9;21;5;1;2;0;1;0;0;1087;15;0;0;89;6.168840542;89;1;14;7;3;147;777;0.24
4.2;6;6;1;2;0;1;0;0;658;25;0;0;26;6.938610142;84;0;2;0;0;35;547;0.07
3.7;19;9;1;2;0;1;0;0;765;20;0;0;78;5.44726216;90;0;45;40;1;146;459;0.21
4.1;17;10;1;2;0;1;0;0;1334;20;0;0;68;6.235786457;89;0;22;2;0;119;1051;0.19
4;24;9;1;2;0;1;0;0;841;20;0;0;50;5.392008497;84;0;15;3;1;83;615;0.29
4.6;3;3;0;3;0;0;1;0;76;15;0;0;2;5.975527075;65;0;1;0;0;4;69;0.05
3.8;16;8;1;2;0;1;0;0;512;20;0;0;45;6.592581294;84;0;8;6;1;84;334;0.19
4.4;15;7;1;2;0;1;0;0;2081;15;0;0;95;7.881367615;90;0;35;1;0;154;1798;0.17
4.2;7;4;1;2;0;1;0;0;561;20;0;0;15;7.482485219;84;0;7;1;0;36;452;0.08
3.7;9;0;0;2;0;1;0;0;96;10;0;0;11;7.157558738;88;0;6;5;1;16;62;0.1
4.3;6;4;1;2;0;1;0;0;1073;20;0;0;37;9.441327439;89;0;10;0;0;59;919;0.07
3.6;13;0;1;2;0;1;0;0;842;20;0;0;99;6.326225733;89;0;17;9;1;167;477;0.15
3.9;15;8;1;2;0;1;0;0;723;15;0;0;52;8.489591957;89;0;15;7;2;86;499;0.17
4.2;5;4;1;2;0;1;0;0;1073;25;0;0;51;6.873797359;84;0;40;3;1;76;891;0.06
4.1;16;12;1;2;0;1;0;0;3747;30;0;0;210;4.757544283;98.5;0;76;5;1;345;2881;0.16
3.6;15;3;1;2;0;1;0;0;437;15;0;0;47;5.753577976;79;1;35;29;6;85;263;0.19
3.9;22;4;1;2;0;1;0;0;600;15;0;0;32;9.081986683;79;0;20;6;2;63;429;0.28
3.8;7;7;1;3;0;0;1;0;443;10;0;0;54;9.064078854;72;1;18;15;3;83;290;0.1
4;8;5;1;2;0;1;0;0;703;15;0;0;42;10.74281029;81;0;12;1;0;75;520;0.1
4.1;6;5;1;2;0;1;0;0;1568;42.5;0;0;77;10.12818488;89;0;61;5;0;138;1250;0.07
4.2;18;5;1;0;0;0;0;0;2743;20;1;0;141;9.204808001;66;0;48;5;1;226;2187;0.27
3.9;14;5;1;2;0;1;0;0;631;20;0;0;57;9.143811961;89;0;7;3;0;94;452;0.16
4;7;7;1;2;0;1;0;0;655;10;0;0;30;9.814532235;89;1;10;2;1;51;489;0.08
4.2;13;8;1;2;0;1;0;0;826;25;0;0;46;11.61031807;84;0;32;3;0;61;664;0.16
4.3;7;4;1;2;0;1;0;0;656;20;0;0;22;10.90843882;89;0;20;1;0;32;553;0.08
4;8;8;1;2;0;1;0;0;1180;20;0;0;82;9.357830422;89;1;32;4;0;145;851;0.09
4.1;14;0;0;2;0;1;0;0;448;15;0;0;23;5.710525288;73;0;14;1;0;35;343;0.19
4.2;16;6;1;3;0;0;1;0;295;15;0;0;15;10.40787421;72;0;1;0;0;23;249;0.22
3.6;18;3;0;2;0;1;0;0;390;15;0;0;48;7.839995079;79;0;21;17;4;75;230;0.23
3.9;25;3;1;2;0;1;0;0;115;15;0;0;8;12.3985087;90;0;7;3;0;15;82;0.28
4.2;9;3;1;3;0;0;1;0;561;15;0;0;25;4.534161674;84;0;8;1;0;51;452;0.11
4.2;18;9;1;3;0;0;1;0;561;20;0;0;25;4.534161674;84;0;10;1;0;51;452;0.21
3.9;11;4;1;2;0;1;0;0;395;15;0;0;36;8.067786876;79;0;27;11;3;52;280;0.14
4.2;21;5;0;2;0;1;0;0;386;15;0;0;11;12.22430893;89;0;2;0;0;25;324;0.24
3.9;11;2;1;2;0;1;0;0;769;20;0;0;54;13.55573714;90;1;41;23;7;86;566;0.12
4.4;7;3;1;2;0;1;0;0;1944;20;0;0;69;2.200317221;94;0;67;3;0;107;1685;0.07
3.6;12;5;1;2;0;1;0;0;619;15;0;0;78;7.738587087;84;1;37;31;6;121;373;0.14
3.8;22;2;1;3;0;0;1;0;700;15;0;0;69;7.677205187;101;1;17;4;1;111;472;0.22
2.8;0;0;1;4;0;0;0;1;58;10;0;0;22;2.421950464;0;1;20;17;2;27;24;0.01
4.2;2;0;1;2;0;1;0;0;356;15;0;0;14;6.808240928;90;0;8;1;0;25;280;0.02
4.2;20;7;1;2;0;1;0;0;725;25;0;0;42;9.492846385;84;1;22;2;0;56;587;0.24
4;23;7;1;2;0;1;0;0;1035;20;0;0;87;9.399769435;90;1;3;1;0;133;774;0.26
4;24;9;1;2;0;1;0;0;1391;20;0;0;107;12.98579213;90;1;37;7;2;171;1041;0.27
4;20;4;1;1;1;0;0;0;640;20;0;0;33;13.62831992;96;0;13;2;0;67;468;0.21
3.9;11;0;0;3;0;0;1;0;257;15;0;0;19;5.664753087;72;0;6;2;0;40;175;0.15
4.2;11;4;1;2;0;1;0;0;354;20;0;0;11;13.77183336;78;0;4;0;0;23;283;0.14
4;15;3;1;2;0;1;0;0;246;25;0;0;12;14.46255763;78;1;10;1;0;21;179;0.19
3.9;11;5;1;2;0;1;0;0;674;20;0;0;51;14.47791995;90;1;35;18;7;79;476;0.12
4.2;15;7;1;3;0;0;1;0;481;20;0;0;27;4.630428332;78;0;23;2;0;46;384;0.19
4.2;28;8;1;2;0;1;0;0;490;20;0;0;12;16.43146126;84;0;9;1;0;29;394;0.33
4.1;10;5;1;2;0;1;0;0;1169;25;0;0;69;13.74856586;90;0;21;2;0;114;913;0.11
4;32;8;1;2;0;1;0;0;458;15;0;0;32;17.82708761;84;0;23;5;1;51;342;0.38
3.8;24;7;1;2;0;1;0;0;587;20;0;0;51;14.96003622;90;0;44;35;4;83;387;0.27
4.6;10;7;1;3;0;0;1;0;2478;30;0;0;67;16.08728572;84;0;38;1;0;101;2268;0.12
3.5;13;5;0;2;0;1;0;0;279;15;0;0;39;10.57480295;84;0;11;9;1;67;153;0.16
3.6;15;9;0;2;0;1;0;0;951;20;0;0;113;2.703578898;107.5;0;29;19;5;192;563;0.14
3.8;10;2;1;2;0;1;0;0;421;20;0;0;29;6.502275515;84;1;1;1;0;61;276;0.12
3.8;15;7;0;2;0;1;0;0;695;15;0;0;61;3.929779753;107.5;0;35;31;4;102;466;0.14
4.1;3;3;0;4;0;0;0;1;594;20;0;0;41;3.966968383;66;0;27;2;1;64;467;0.05
4.1;21;1;1;1;1;0;0;0;651;15;0;0;39;15.11710836;96;1;16;1;0;66;498;0.22
4.3;33;7;1;2;0;1;0;0;1529;20;0;0;53;13.16400064;90;0;42;2;1;99;1303;0.37
3.9;22;6;1;2;0;1;0;0;1478;20;0;0;148;9.334940465;101.5;0;107;58;8;232;1035;0.22
3.8;24;7;0;1;1;0;0;0;707;15;0;0;59;3.627470013;113.5;0;18;16;2;102;471;0.21
4.3;11;3;1;2;0;1;0;0;263;15;0;0;10;14.05923061;78;0;8;0;0;18;211;0.14
4.1;12;3;1;2;0;1;0;0;338;20;0;0;6;7.440612283;81;0;4;0;0;20;243;0.15
4.2;25;4;1;2;0;1;0;0;470;15;0;0;19;13.49875145;78;0;19;2;0;33;373;0.32
3.3;14;3;0;2;0;1;0;0;397;15;0;0;77;6.641363803;78;0;63;51;10;111;202;0.18
3.9;18;3;1;2;0;1;0;0;772;20;0;0;63;10.26090235;90;0;43;21;3;107;542;0.2
4.3;8;4;1;2;0;1;0;0;757;20;0;0;25;19.2901063;78;0;7;0;0;43;650;0.1
4.1;33;8;1;2;0;1;0;0;1317;20;0;0;97;7.122285397;90;0;82;8;0;145;1011;0.37
3.6;10;2;1;2;0;1;0;0;367;15;0;0;46;7.149639144;90;0;12;9;3;82;220;0.11
4.1;19;9;1;1;1;0;0;0;504;15;0;0;19;6.579372137;96;0;13;1;0;43;385;0.2
4;35;5;1;1;1;0;0;0;869;15;0;0;51;4.642678758;113.5;0;47;7;0;83;646;0.31
3.7;25;9;1;2;0;1;0;0;950;20;0;0;97;6.097032298;90;1;83;74;9;177;615;0.28
4.2;8;5;1;2;0;1;0;0;1685;25;0;0;101;8.072154357;90;0;93;9;3;136;1393;0.09
4;7;4;1;2;0;1;0;0;1349;20;0;0;108;18.25716833;107.5;0;75;12;2;161;1023;0.07
3.9;20;3;1;1;1;0;0;0;640;25;0;0;66;13.91417235;96;0;33;12;0;97;459;0.21
4.1;0;0;1;2;0;1;0;0;265;10;0;0;17;13.84088055;0;0;2;0;0;21;208;0.01
4.5;5;3;1;3;0;0;1;0;237;15;0;0;6;14.10560564;70;0;2;0;0;10;209;0.07
3.6;13;5;1;2;0;1;0;0;336;15;0;0;41;9.319391865;84;0;40;35;5;73;201;0.16
3.9;22;8;1;2;0;1;0;0;696;20;0;0;62;7.697181363;90;0;32;14;3;99;503;0.24
